Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered
891,3711,412,98,32,9999,0,83,0,4341,2,2,1171,441,1353,1,1,73,72,46,0,25,59,51,0,1440,1584,1106,1216,0,14,25,33,34,25,10,9,14,9,18,9999,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1891,3714,412,98,32,9999,0,44,0,4341,2,2,1171,441,1353,1,1,72,72,48,0,73,0,116,0,1440,1584,1141,1157,0,61,40,29,27,5,14,44,61,16,0,9999,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2891,3711,412,98,32,9999,0,39,0,4341,2,2,1171,441,1555,1,1,73,72,48,0,73,0,56,0,1440,1584,1090,1161,0,17,28,35,27,28,10,17,10,4,18,9999,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3891,3658,412,98,32,9999,0,18,0,4341,2,2,1171,441,1353,1,1,62,72,47,0,73,0,53,0,1440,1584,1078,1158,0,45,40,34,31,28,33,20,45,5,14,9999,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4891,3658,412,98,32,9999,0,140,0,4341,3,2,1478,441,1353,1,1,73,72,48,0,62,11,15,0,1440,1584,2674,1158,0,73,45,11,27,21,54,21,73,9,29,9999,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5893,3625,412,98,32,9999,0,151,0,4341,3,2,1478,441,1353,1,1,73,72,48,0,62,11,15,0,1440,1584,2674,1158,0,73,45,11,27,21,54,21,73,9,29,9999,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6891,3605,412,98,32,9999,0,150,0,4341,4,2,1478,441,1555,1,1,64,72,47,0,40,32,15,0,1440,1584,2755,1147,0,85,33,47,10,19,85,35,19,9,29,9999,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7891,3602,412,98,32,9999,0,215,0,4341,4,2,1478,441,1555,1,1,65,72,47,0,67,7,42,0,1440,1584,2713,1154,0,14,39,23,27,15,10,14,14,4,29,9999,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8892,3549,412,98,32,9999,0,325,0,4341,4,2,1382,441,2000,1,1,73,72,48,0,73,0,5,0,1440,1584,2736,1153,0,27,31,25,36,11,5,27,19,9,29,9999,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9892,3551,412,98,32,9999,0,117,0,4341,3,2,1382,441,1353,1,1,71,72,47,0,70,2,30,0,1440,1584,5185,1160,0,27,39,27,26,30,27,23,27,9,47,9999,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10891,3549,412,98,32,9999,0,230,0,4341,3,2,1171,441,1353,1,1,73,72,48,0,73,0,133,0,1440,1584,4753,1163,0,25,36,29,52,30,19,25,21,5,45,9999,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11892,3547,412,98,32,9999,0,247,0,4341,2,2,1171,441,1555,1,1,72,72,48,0,73,0,77,0,1440,1584,5132,1153,0,23,43,25,27,19,19,18,23,4,47,9999,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12892,3548,412,98,32,9999,0,264,0,4341,2,2,1171,441,1555,1,1,73,72,48,0,72,0,71,0,1440,1584,4935,1162,0,23,31,25,23,27,14,22,23,5,45,9999,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13892,3547,412,98,32,9999,0,184,0,4341,2,2,1171,441,1555,1,1,73,72,48,0,73,0,20,0,1440,1584,4952,1162,0,21,22,39,34,11,19,21,10,5,45,9999,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14893,3546,412,98,32,9999,0,202,0,4337,2,2,1171,441,1555,1,1,73,72,48,0,73,0,6,0,1440,1584,4979,1158,0,27,15,45,26,34,19,27,10,10,46,9999,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15892,3494,412,98,32,9999,0,318,0,4337,2,2,1382,441,1804,1,1,72,72,48,0,72,0,4,0,1440,1584,4977,1157,0,66,41,28,27,19,66,38,0,4,8,9999,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16892,3495,412,98,32,9999,0,307,0,4337,3,2,1382,441,1353,1,1,50,72,47,0,49,24,36,0,1440,1584,5016,1159,0,22,35,31,25,23,10,18,22,5,46,9999,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17892,3495,412,98,32,9999,0,356,0,4337,3,2,1382,441,1804,1,1,73,72,48,0,73,0,108,0,1440,1584,5234,1163,0,29,43,21,36,14,14,29,15,9,48,9999,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18892,3495,412,98,32,9999,0,278,0,4337,2,2,1171,441,1804,1,1,71,72,47,0,70,3,74,0,1440,1584,5168,1162,0,50,40,34,39,16,50,11,21,5,48,9999,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20024,3495,660,98,32,9999,0,259,0,4337,2,2,1171,441,1804,1,1,73,72,48,0,73,0,50,0,1440,1584,5158,1163,0,22,42,31,30,23,22,10,19,9,47,9999,408,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20892,3493,660,98,32,9999,0,201,0,4337,2,2,1171,441,2000,1,1,73,72,48,0,73,0,5,0,1440,1584,5204,1163,0,28,52,38,45,31,19,28,21,22,47,9999,408,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21893,3494,660,98,32,9999,0,239,0,4337,2,2,1171,441,1353,1,1,73,72,48,0,72,0,7,0,1440,1584,5196,1161,0,22,36,39,21,30,22,14,19,5,47,9999,408,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22892,3492,660,98,32,9999,0,289,0,4337,2,2,1171,441,1555,1,1,72,72,48,0,70,1,5,0,1440,1584,5180,1162,0,22,30,42,42,23,22,19,15,9,47,9999,409,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23893,3482,660,98,32,9999,0,244,0,4329,2,2,1171,441,2000,1,1,72,72,48,0,70,1,5,0,1440,1584,5180,1162,0,22,30,42,42,23,22,19,15,9,47,9999,418,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24893,3478,660,98,32,9999,0,174,0,4329,2,2,1171,441,1353,1,1,72,72,48,0,70,1,5,0,1440,1584,5180,1162,0,22,30,42,42,23,22,19,15,9,47,9999,419,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25893,3463,660,98,32,9999,0,62,0,4329,2,2,1171,441,1804,1,1,72,72,48,0,70,1,5,0,1440,1584,5180,1162,0,22,30,42,42,23,22,19,15,9,47,9999,434,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26893,3470,660,98,32,9999,0,316,0,4329,3,2,1382,441,2000,1,1,73,72,48,0,70,1,3,0,1440,1584,5179,1165,0,94,85,80,52,72,94,81,86,39,8,9999,491,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
