Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered
895,3719,404,97,34,9999,0,2,0,4321,2,2,1171,441,1353,0,1,1,72,0,0,2,71,0,0,0,0,1086,1547,0,22,37,47,52,35,22,10,5,9,19,9999,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895,3721,404,97,34,9999,0,49,0,4321,2,2,1171,441,1353,1,1,74,72,46,0,72,0,78,0,1440,1584,1100,1212,0,9,22,21,31,23,5,5,9,5,18,9999,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2896,3721,404,97,34,9999,0,14,0,4321,2,2,1171,441,1353,1,1,73,72,48,0,73,0,90,0,1440,1584,1108,1190,0,18,31,38,21,26,10,5,18,5,18,9999,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3896,3647,404,97,34,9999,0,13,0,4321,2,2,1171,441,2000,1,1,73,72,48,0,73,0,24,0,1440,1584,1110,1194,0,19,50,11,37,94,0,17,19,5,18,9999,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4895,3645,404,97,34,9999,0,251,0,4321,2,2,1478,441,1353,1,1,61,72,47,0,61,12,20,0,1440,1584,2366,1182,0,54,47,28,78,44,36,50,54,13,27,9999,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5897,3595,404,97,34,9999,0,111,0,4321,4,2,1478,441,1353,1,1,73,72,48,0,73,0,22,0,1440,1584,2335,1180,0,61,31,39,37,30,14,57,61,5,27,9999,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6901,3575,404,97,34,9999,0,254,0,4314,4,2,1478,441,1804,1,1,73,72,48,0,73,0,22,0,1440,1584,2299,1186,0,73,36,36,31,22,25,5,73,9,9,9999,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7896,3565,404,97,34,9999,0,352,0,4314,4,2,1478,441,1804,1,1,65,72,47,0,53,21,6,0,1440,1584,2326,1180,0,39,47,44,50,42,39,19,14,9,24,9999,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8896,3515,404,97,34,9999,0,392,0,4314,4,2,1478,441,1353,1,1,66,72,47,0,70,3,5,0,1440,1584,2338,1179,0,18,40,39,28,30,5,18,14,5,27,9999,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9896,3516,404,97,34,9999,0,219,0,4314,3,2,1382,441,1353,1,1,73,72,48,0,70,1,4,0,1440,1584,5742,1193,0,19,35,42,34,43,19,10,18,9,48,9999,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
