Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered
884,3781,292,96,35,9999,0,13,0,4318,2,2,1171,441,1353,0,1,1,72,0,0,3,61,0,0,0,0,854,1192,0,10,33,36,31,43,10,5,10,9,16,9999,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1884,3778,292,96,35,9999,0,14,0,4318,2,2,1171,441,1353,1,1,73,72,46,0,73,0,11,0,1440,1584,833,1132,0,14,43,34,15,37,13,14,10,9,15,9999,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2884,3782,292,96,35,9999,0,7,0,4318,2,2,1171,441,1353,1,1,73,72,48,0,73,0,3,0,1440,1584,833,1133,0,14,50,48,26,14,9,14,5,5,15,9999,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3885,3621,292,96,35,9999,0,60,0,4318,2,2,1382,441,1804,1,1,73,72,48,0,73,0,7,0,1440,1584,854,1133,0,18,50,51,15,10,9,18,14,9,15,9999,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4884,3618,292,96,35,9999,0,134,0,4318,4,2,1478,441,1353,1,1,63,72,48,0,62,11,6,0,1440,1584,3281,1129,0,100,50,50,27,10,22,19,100,5,33,9999,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5884,3556,292,96,35,9999,0,85,0,4318,4,2,1478,441,1353,1,1,73,72,48,0,72,0,3,0,1440,1584,3393,1208,0,33,59,40,34,33,33,31,19,13,28,9999,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6887,3543,292,96,35,9999,0,213,0,4318,4,2,1478,441,1555,1,1,69,72,47,0,63,8,4,0,1440,1584,3291,1128,0,25,31,48,23,26,15,25,14,9,25,9999,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7884,3532,292,96,35,9999,0,218,0,4318,4,2,1478,441,1555,1,1,44,72,46,0,47,27,25,0,1440,1584,3252,1122,0,19,48,44,34,5,5,18,19,9,33,9999,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8884,3573,292,96,35,9999,0,264,0,4305,4,2,1478,441,1804,1,1,71,72,48,0,70,3,13,0,1440,1584,3247,1130,0,68,48,39,28,15,40,19,68,0,33,9999,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9884,3573,292,96,35,9999,0,304,0,4305,3,2,1382,441,1353,1,1,71,72,47,0,71,2,8,0,1440,1584,6027,1128,0,19,43,19,42,27,10,10,19,5,53,9999,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10884,3571,292,96,35,9999,0,311,0,4305,3,2,1382,441,1555,1,1,73,72,48,0,73,0,12,0,1440,1584,5993,1134,0,25,41,50,27,11,19,25,19,13,53,9999,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
