Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered
902,3822,300,94,36,9999,0,186,0,4291,2,2,1171,441,1353,0,1,1,72,0,0,0,30,0,0,0,0,895,1252,0,17,39,30,19,10,5,9,17,5,16,9999,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,3827,300,94,36,9999,0,95,0,4291,2,2,1171,441,1353,1,1,73,72,46,0,45,34,18,0,1440,1584,886,1194,0,13,40,39,30,22,9,5,13,13,16,9999,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2902,3825,300,94,36,9999,0,157,0,4291,2,2,1171,441,1804,1,1,73,72,48,0,73,0,9,0,1440,1584,886,1195,0,17,41,21,23,19,17,0,9,9,16,9999,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3904,3656,300,94,36,9999,0,107,0,4291,2,2,1382,441,1353,1,1,73,72,48,0,73,0,5,0,1440,1584,886,1196,0,14,50,47,63,42,9,14,10,5,16,9999,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4902,3659,300,94,36,9999,0,416,0,4291,3,2,1478,441,2000,1,1,63,72,48,0,73,0,6,0,1440,1584,3463,1189,0,86,61,52,65,52,38,36,86,14,35,9999,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5902,3582,300,94,36,9999,0,379,0,4276,4,2,1478,441,1353,1,1,73,72,48,0,62,11,91,0,1440,1584,3485,1182,0,80,50,44,40,42,21,36,80,13,35,9999,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6902,3574,300,94,36,9999,0,294,0,4276,4,2,1478,441,1555,1,1,67,72,47,0,69,3,67,0,1440,1584,3671,1187,0,68,43,31,34,16,68,0,34,0,14,9999,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7903,3562,300,94,36,9999,0,285,0,4276,4,2,1478,441,1555,1,1,44,72,46,0,40,34,22,0,1440,1584,3484,1187,0,63,38,43,30,25,38,63,36,5,35,9999,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8903,3558,300,94,36,9999,0,345,0,4276,4,2,1478,441,1555,1,1,71,72,48,0,73,0,25,0,1440,1584,3486,1181,0,18,39,36,34,21,18,10,14,9,35,9999,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9903,3559,300,94,36,9999,0,288,0,4276,4,2,1382,441,1555,1,1,73,72,48,0,70,3,11,0,1440,1584,3496,1187,0,19,43,41,33,22,14,18,19,9,35,9999,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
